x	si(x)
0.000000	2.000000
0.200000	2.137180
0.400000	2.277957
0.600000	2.425929
0.800000	2.584692
1.000000	2.757844
1.200000	2.948983
1.400000	3.160707
1.600000	3.386916
1.800000	3.617034
2.000000	3.840448
2.200000	4.046544
2.400000	4.224709
2.600000	4.364642
2.800000	4.463263
3.000000	4.524708
3.200000	4.553427
3.400000	4.553872
3.600000	4.530492
3.800000	4.487734
4.000000	4.429473
4.200000	4.358479
4.400000	4.277393
4.600000	4.188856
4.800000	4.095512
5.000000	4.000000
5.200000	3.904478
5.400000	3.809159
5.600000	3.713771
5.800000	3.618043
6.000000	3.521702
6.200000	3.424476
6.400000	3.326696
6.600000	3.233920
6.800000	3.154403
7.000000	3.096422
7.200000	3.068253
7.400000	3.078171
7.600000	3.133854
7.800000	3.229166
8.000000	3.344162
8.200000	3.458298
8.400000	3.551028
8.600000	3.601806
8.800000	3.590174
9.000000	3.506073
9.200000	3.359648
9.400000	3.163363
9.600000	2.929684
9.800000	2.671074
10.000000	2.400000
